,Country,Target Year,Population lag 5 years,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 5 years,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 5 years,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 5 years,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 5 years,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 5 years,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
319,Moldova,2010,4159296.0,4146264.0,4130129.0,4112886.0,4097515.0,4086090.0,67.82,68.022,68.302,68.671,69.119,69.616,2988348836.0,3408244549.0,4401189466.0,6054849885.0,5439422031.0,6974982393.0,1034.707058,1183.379211,1531.685476,2111.201495,1899.010117,2437.537683,1304639013.0,1309668760.0,1314647314.0,1319837694.0,1324377206.0,1329208111.0,4.77491807937622,5.50275611877441,5.55437421798706,5.5897364616394,5.7922625541687
320,Moldova,2011,4146264.0,4130129.0,4112886.0,4097515.0,4086090.0,4079167.0,68.022,68.302,68.671,69.119,69.616,70.119,3408244549.0,4401189466.0,6054849885.0,5439422031.0,6974982393.0,8414351672.0,1183.379211,1531.685476,2111.201495,1899.010117,2437.537683,2942.252807,1309668760.0,1314647314.0,1319837694.0,1324377206.0,1329208111.0,1334153085.0,5.50275611877441,5.55437421798706,5.5897364616394,5.7922625541687,5.9957127571106
321,Moldova,2012,4130129.0,4112886.0,4097515.0,4086090.0,4079167.0,4075804.0,68.302,68.671,69.119,69.616,70.119,70.581,4401189466.0,6054849885.0,5439422031.0,6974982393.0,8414351672.0,8709138765.0,1531.685476,2111.201495,1899.010117,2437.537683,2942.252807,3045.730612,1314647314.0,1319837694.0,1324377206.0,1329208111.0,1334153085.0,1338918767.0,5.55437421798706,5.5897364616394,5.7922625541687,5.9957127571106,5.75605916976929
322,Moldova,2013,4112886.0,4097515.0,4086090.0,4079167.0,4075804.0,4074585.0,68.671,69.119,69.616,70.119,70.581,70.968,6054849885.0,5439422031.0,6974982393.0,8414351672.0,8709138765.0,9496717702.0,2111.201495,1899.010117,2437.537683,2942.252807,3045.730612,3322.04998,1319837694.0,1324377206.0,1329208111.0,1334153085.0,1338918767.0,1343818125.0,5.5897364616394,5.7922625541687,5.9957127571106,5.75605916976929,5.91705846786499
323,Moldova,2014,4097515.0,4086090.0,4079167.0,4075804.0,4074585.0,4073407.0,69.119,69.616,70.119,70.581,70.968,71.267,5439422031.0,6974982393.0,8414351672.0,8709138765.0,9496717702.0,9510198962.0,1899.010117,2437.537683,2942.252807,3045.730612,3322.04998,3328.79433,1324377206.0,1329208111.0,1334153085.0,1338918767.0,1343818125.0,1348576941.0,5.7922625541687,5.9957127571106,5.75605916976929,5.91705846786499,6.01747226715088
324,Moldova,2015,4086090.0,4079167.0,4075804.0,4074585.0,4073407.0,4070705.0,69.616,70.119,70.581,70.968,71.267,71.478,6974982393.0,8414351672.0,8709138765.0,9496717702.0,9510198962.0,7745241913.0,2437.537683,2942.252807,3045.730612,3322.04998,3328.79433,2732.46073,1329208111.0,1334153085.0,1338918767.0,1343818125.0,1348576941.0,1353358701.0,5.9957127571106,5.75605916976929,5.91705846786499,6.01747226715088,5.57778406143188
330,Philippines,2010,86326251.0,87888675.0,89405482.0,90901967.0,92414161.0,93966784.0,66.8,66.8,66.8,67.2,67.3,67.0,107420000000.0,127653000000.0,155980000000.0,181625000000.0,175975000000.0,208369000000.0,1244.348741,1452.438089,1744.639979,1998.02692,1904.196388,2217.472153,1854540721.0,1921064345.0,1991827319.0,2069127838.0,2145619669.0,2228572356.0,5.07356214523315,4.58906507492065,4.87991094589233,4.94151401519775,4.99395656585693
331,Philippines,2011,87888675.0,89405482.0,90901967.0,92414161.0,93966784.0,95570049.0,66.8,66.8,67.2,67.3,67.0,67.3,127653000000.0,155980000000.0,181625000000.0,175975000000.0,208369000000.0,234217000000.0,1452.438089,1744.639979,1998.02692,1904.196388,2217.472153,2450.735694,1921064345.0,1991827319.0,2069127838.0,2145619669.0,2228572356.0,2312314868.0,4.58906507492065,4.87991094589233,4.94151401519775,4.99395656585693,5.00196504592896
332,Philippines,2012,89405482.0,90901967.0,92414161.0,93966784.0,95570049.0,97212639.0,66.8,67.2,67.3,67.0,67.3,67.5,155980000000.0,181625000000.0,175975000000.0,208369000000.0,234217000000.0,261921000000.0,1744.639979,1998.02692,1904.196388,2217.472153,2450.735694,2694.305109,1991827319.0,2069127838.0,2145619669.0,2228572356.0,2312314868.0,2400723081.0,4.87991094589233,4.94151401519775,4.99395656585693,5.00196504592896,4.97692537307739
333,Philippines,2013,90901967.0,92414161.0,93966784.0,95570049.0,97212639.0,98871558.0,67.2,67.3,67.0,67.3,67.5,67.5,181625000000.0,175975000000.0,208369000000.0,234217000000.0,261921000000.0,283903000000.0,1998.02692,1904.196388,2217.472153,2450.735694,2694.305109,2871.429701,2069127838.0,2145619669.0,2228572356.0,2312314868.0,2400723081.0,2496517164.0,4.94151401519775,4.99395656585693,5.00196504592896,4.97692537307739,5.31255006790161
334,Philippines,2014,92414161.0,93966784.0,95570049.0,97212639.0,98871558.0,100513137.0,67.3,67.0,67.3,67.5,67.5,68.0,175975000000.0,208369000000.0,234217000000.0,261921000000.0,283903000000.0,297483000000.0,1904.196388,2217.472153,2450.735694,2694.305109,2871.429701,2959.645435,2145619669.0,2228572356.0,2312314868.0,2400723081.0,2496517164.0,2597701089.0,4.99395656585693,5.00196504592896,4.97692537307739,5.31255006790161,5.54748916625977
335,Philippines,2015,93966784.0,95570049.0,97212639.0,98871558.0,100513137.0,102113206.0,67.0,67.3,67.5,67.5,68.0,67.9,208369000000.0,234217000000.0,261921000000.0,283903000000.0,297483000000.0,306446000000.0,2217.472153,2450.735694,2694.305109,2871.429701,2959.645435,3001.043182,2228572356.0,2312314868.0,2400723081.0,2496517164.0,2597701089.0,2709843495.0,5.00196504592896,4.97692537307739,5.31255006790161,5.54748916625977,5.430832862854
341,Russia,2010,143672125.0,143403258.0,143266207.0,143248764.0,143326904.0,143479273.0,65.752,66.238,66.807,67.426,68.07,68.715,764017107992.0,989930542279.0,1299705764824.0,1660846387625.0,1222644282202.0,1524917468442.0,5317.782472,6903.12449,9071.96325,11594.14114,8530.459028,10628.13769,1511914000.0,1527049000.0,1528156000.0,1592303000.0,1597325000.0,1621468000.0,5.22286748886108,5.6187539100647,5.15822792053223,5.38477325439453,5.38876628875732
342,Russia,2011,143403258.0,143266207.0,143248764.0,143326904.0,143479273.0,143703027.0,66.238,66.807,67.426,68.07,68.715,69.343,989930542279.0,1299705764824.0,1660846387625.0,1222644282202.0,1524917468442.0,2045925608274.0,6903.12449,9071.96325,11594.14114,8530.459028,10628.13769,14237.17823,1527049000.0,1528156000.0,1592303000.0,1597325000.0,1621468000.0,1504779000.0,5.6187539100647,5.15822792053223,5.38477325439453,5.38876628875732,5.62073564529419
343,Russia,2012,143266207.0,143248764.0,143326904.0,143479273.0,143703027.0,143993888.0,66.807,67.426,68.07,68.715,69.343,69.944,1299705764824.0,1660846387625.0,1222644282202.0,1524917468442.0,2045925608274.0,2208295773643.0,9071.96325,11594.14114,8530.459028,10628.13769,14237.17823,15336.03825,1528156000.0,1592303000.0,1597325000.0,1621468000.0,1504779000.0,1595843000.0,5.15822792053223,5.38477325439453,5.38876628875732,5.62073564529419,5.53717756271362
344,Russia,2013,143248764.0,143326904.0,143479273.0,143703027.0,143993888.0,144325456.0,67.426,68.07,68.715,69.343,69.944,70.508,1660846387625.0,1222644282202.0,1524917468442.0,2045925608274.0,2208295773643.0,2292473246621.0,11594.14114,8530.459028,10628.13769,14237.17823,15336.03825,15884.05338,1592303000.0,1597325000.0,1621468000.0,1504779000.0,1595843000.0,1677642000.0,5.38477325439453,5.38876628875732,5.62073564529419,5.53717756271362,6.03697681427002
345,Russia,2014,143326904.0,143479273.0,143703027.0,143993888.0,144325456.0,144664837.0,68.07,68.715,69.343,69.944,70.508,71.018,1222644282202.0,1524917468442.0,2045925608274.0,2208295773643.0,2292473246621.0,2059241965491.0,8530.459028,10628.13769,14237.17823,15336.03825,15884.05338,14234.5715,1597325000.0,1621468000.0,1504779000.0,1595843000.0,1677642000.0,1683891000.0,5.38876628875732,5.62073564529419,5.53717756271362,6.03697681427002,5.99553871154785
346,Russia,2015,143479273.0,143703027.0,143993888.0,144325456.0,144664837.0,144985059.0,68.715,69.343,69.944,70.508,71.018,71.464,1524917468442.0,2045925608274.0,2208295773643.0,2292473246621.0,2059241965491.0,1363481063447.0,10628.13769,14237.17823,15336.03825,15884.05338,14234.5715,9404.28671,1621468000.0,1504779000.0,1595843000.0,1677642000.0,1683891000.0,1640747000.0,5.62073564529419,5.53717756271362,6.03697681427002,5.99553871154785,5.85494565963745
352,Saudi Arabia,2010,23816175.0,24498313.0,25184589.0,25888535.0,26630303.0,27421468.0,72.6,72.8,72.9,73.0,73.1,73.1,328460000000.0,376900000000.0,415965000000.0,519797000000.0,429098000000.0,528207000000.0,13791.45476,15384.73836,16516.63178,20078.26007,16113.14371,19262.5476,7668645874.0,8099937842.0,8486444989.0,8918781399.0,9384625708.0,9902341655.0,7.26669406890869,6.81137037277222,6.14759016036987,6.30709838867188,6.69978952407837
353,Saudi Arabia,2011,24498313.0,25184589.0,25888535.0,26630303.0,27421468.0,28267591.0,72.8,72.9,73.0,73.1,73.1,73.2,376900000000.0,415965000000.0,519797000000.0,429098000000.0,528207000000.0,671239000000.0,15384.73836,16516.63178,20078.26007,16113.14371,19262.5476,23745.88058,8099937842.0,8486444989.0,8918781399.0,9384625708.0,9902341655.0,10400000665.0,6.81137037277222,6.14759016036987,6.30709838867188,6.69978952407837,6.39635944366455
354,Saudi Arabia,2012,25184589.0,25888535.0,26630303.0,27421468.0,28267591.0,29154906.0,72.9,73.0,73.1,73.1,73.2,73.2,415965000000.0,519797000000.0,429098000000.0,528207000000.0,671239000000.0,735975000000.0,16516.63178,20078.26007,16113.14371,19262.5476,23745.88058,25243.602,8486444989.0,8918781399.0,9384625708.0,9902341655.0,10400000665.0,10963180158.0,6.14759016036987,6.30709838867188,6.69978952407837,6.39635944366455,6.49513292312622
355,Saudi Arabia,2013,25888535.0,26630303.0,27421468.0,28267591.0,29154906.0,30052058.0,73.0,73.1,73.1,73.2,73.2,73.3,519797000000.0,429098000000.0,528207000000.0,671239000000.0,735975000000.0,746647000000.0,20078.26007,16113.14371,19262.5476,23745.88058,25243.602,24845.12466,8918781399.0,9384625708.0,9902341655.0,10400000665.0,10963180158.0,11503985390.0,6.30709838867188,6.69978952407837,6.39635944366455,6.49513292312622,6.27837800979614
356,Saudi Arabia,2014,26630303.0,27421468.0,28267591.0,29154906.0,30052058.0,30916603.0,73.1,73.1,73.2,73.2,73.3,73.4,429098000000.0,528207000000.0,671239000000.0,735975000000.0,746647000000.0,756350000000.0,16113.14371,19262.5476,23745.88058,25243.602,24845.12466,24464.21256,9384625708.0,9902341655.0,10400000665.0,10963180158.0,11503985390.0,12113191007.0,6.69978952407837,6.39635944366455,6.49513292312622,6.27837800979614,6.34549188613892
357,Saudi Arabia,2015,27421468.0,28267591.0,29154906.0,30052058.0,30916603.0,31717676.0,73.1,73.2,73.2,73.3,73.4,73.7,528207000000.0,671239000000.0,735975000000.0,746647000000.0,756350000000.0,654270000000.0,19262.5476,23745.88058,25243.602,24845.12466,24464.21256,20627.92178,9902341655.0,10400000665.0,10963180158.0,11503985390.0,12113191007.0,12788069175.0,6.39635944366455,6.49513292312622,6.27837800979614,6.34549188613892,6.47392129898071
363,South Africa,2010,47880595.0,48489464.0,49119766.0,49779472.0,50477013.0,51216967.0,57.3,56.0,54.9,54.0,53.7,53.8,288868000000.0,303861000000.0,333075000000.0,316132000000.0,329753000000.0,417365000000.0,6033.101491,6266.533987,6780.884555,6350.65271,6532.736968,8148.961202,14145850450.0,14592473038.0,15057273313.0,15551915567.0,16054175011.0,16521105019.0,5.20445442199707,5.34630680084229,5.21843099594116,4.65242862701416,4.93051147460938
364,South Africa,2011,48489464.0,49119766.0,49779472.0,50477013.0,51216967.0,52003759.0,56.0,54.9,54.0,53.7,53.8,54.0,303861000000.0,333075000000.0,316132000000.0,329753000000.0,417365000000.0,458202000000.0,6266.533987,6780.884555,6350.65271,6532.736968,8148.961202,8810.930651,14592473038.0,15057273313.0,15551915567.0,16054175011.0,16521105019.0,16995053971.0,5.34630680084229,5.21843099594116,4.65242862701416,4.93051147460938,5.13388776779175
365,South Africa,2012,49119766.0,49779472.0,50477013.0,51216967.0,52003759.0,52832659.0,54.9,54.0,53.7,53.8,54.0,54.5,333075000000.0,316132000000.0,329753000000.0,417365000000.0,458202000000.0,434401000000.0,6780.884555,6350.65271,6532.736968,8148.961202,8810.930651,8222.197279,15057273313.0,15551915567.0,16054175011.0,16521105019.0,16995053971.0,17456192937.0,5.21843099594116,4.65242862701416,4.93051147460938,5.13388776779175,3.66072726249695
366,South Africa,2013,49779472.0,50477013.0,51216967.0,52003759.0,52832659.0,53687125.0,54.0,53.7,53.8,54.0,54.5,55.3,316132000000.0,329753000000.0,417365000000.0,458202000000.0,434401000000.0,400886000000.0,6350.65271,6532.736968,8148.961202,8810.930651,8222.197279,7467.079185,15551915567.0,16054175011.0,16521105019.0,16995053971.0,17456192937.0,17912058881.0,4.65242862701416,4.93051147460938,5.13388776779175,3.66072726249695,4.82845640182495
367,South Africa,2014,50477013.0,51216967.0,52003759.0,52832659.0,53687125.0,54544184.0,53.7,53.8,54.0,54.5,55.3,56.5,329753000000.0,417365000000.0,458202000000.0,434401000000.0,400886000000.0,381199000000.0,6532.736968,8148.961202,8810.930651,8222.197279,7467.079185,6988.808739,16054175011.0,16521105019.0,16995053971.0,17456192937.0,17912058881.0,18392686817.0,4.93051147460938,5.13388776779175,3.66072726249695,4.82845640182495,4.88732576370239
368,South Africa,2015,51216967.0,52003759.0,52832659.0,53687125.0,54544184.0,55386369.0,53.8,54.0,54.5,55.3,56.5,58.0,417365000000.0,458202000000.0,434401000000.0,400886000000.0,381199000000.0,346710000000.0,8148.961202,8810.930651,8222.197279,7467.079185,6988.808739,6259.839681,16521105019.0,16995053971.0,17456192937.0,17912058881.0,18392686817.0,18843258345.0,5.13388776779175,3.66072726249695,4.82845640182495,4.88732576370239,4.76973962783813
374,South Korea,2010,48701069.0,48880449.0,49034813.0,49182458.0,49347450.0,49545638.0,78.354,78.806,79.243,79.66,80.056,80.432,934901071333.0,1053216909888.0,1172614086540.0,1047339010225.0,943941876219.0,1144066965324.0,19196.72587,21546.79287,23913.90962,21294.97087,19128.48336,23091.17435,472455700.0,492946900.0,488551400.0,494420900.0,508338100.0,518325900.0,5.7672758102417,5.38962459564209,5.64768981933594,6.11602449417114,6.94659900665283
375,South Korea,2011,48880449.0,49034813.0,49182458.0,49347450.0,49545638.0,49786153.0,78.806,79.243,79.66,80.056,80.432,80.79,1053216909888.0,1172614086540.0,1047339010225.0,943941876219.0,1144066965324.0,1253223044719.0,21546.79287,23913.90962,21294.97087,19128.48336,23091.17435,25172.12054,492946900.0,488551400.0,494420900.0,508338100.0,518325900.0,530486600.0,5.38962459564209,5.64768981933594,6.11602449417114,6.94659900665283,6.00328683853149
376,South Korea,2012,49034813.0,49182458.0,49347450.0,49545638.0,49786153.0,50060639.0,79.243,79.66,80.056,80.432,80.79,81.137,1172614086540.0,1047339010225.0,943941876219.0,1144066965324.0,1253223044719.0,1278427634343.0,23913.90962,21294.97087,19128.48336,23091.17435,25172.12054,25537.58122,488551400.0,494420900.0,508338100.0,518325900.0,530486600.0,580129900.0,5.64768981933594,6.11602449417114,6.94659900665283,6.00328683853149,5.9588098526001
377,South Korea,2013,49182458.0,49347450.0,49545638.0,49786153.0,50060639.0,50345720.0,79.66,80.056,80.432,80.79,81.137,81.472,1047339010225.0,943941876219.0,1144066965324.0,1253223044719.0,1278427634343.0,1370795199976.0,21294.97087,19128.48336,23091.17435,25172.12054,25537.58122,27227.6412,494420900.0,508338100.0,518325900.0,530486600.0,580129900.0,602183000.0,6.11602449417114,6.94659900665283,6.00328683853149,5.9588098526001,5.80132532119751
378,South Korea,2014,49347450.0,49545638.0,49786153.0,50060639.0,50345720.0,50607904.0,80.056,80.432,80.79,81.137,81.472,81.795,943941876219.0,1144066965324.0,1253223044719.0,1278427634343.0,1370795199976.0,1484318219634.0,19128.48336,23091.17435,25172.12054,25537.58122,27227.6412,29329.77069,508338100.0,518325900.0,530486600.0,580129900.0,602183000.0,603828700.0,6.94659900665283,6.00328683853149,5.9588098526001,5.80132532119751,5.78021144866943
379,South Korea,2015,49545638.0,49786153.0,50060639.0,50345720.0,50607904.0,50823087.0,80.432,80.79,81.137,81.472,81.795,82.1,1144066965324.0,1253223044719.0,1278427634343.0,1370795199976.0,1484318219634.0,1465773245547.0,23091.17435,25172.12054,25537.58122,27227.6412,29329.77069,28840.69686,518325900.0,530486600.0,580129900.0,602183000.0,603828700.0,602311600.0,6.00328683853149,5.9588098526001,5.80132532119751,5.78021144866943,5.97056436538696
385,Spain,2010,44019118.0,44728561.0,45429071.0,46068811.0,46583566.0,46931011.0,79.1,79.4,79.5,79.4,81.0,81.0,1153720000000.0,1260400000000.0,1474000000000.0,1631860000000.0,1491470000000.0,1422110000000.0,26429.15094,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,10597350513.0,10958053115.0,11326599135.0,11663366600.0,11960751675.0,12244624388.0,6.99461460113525,7.29447269439697,6.19860124588013,6.18826246261597,6.51824903488159
386,Spain,2011,44728561.0,45429071.0,46068811.0,46583566.0,46931011.0,47084242.0,79.4,79.5,79.4,81.0,81.0,88.0,1260400000000.0,1474000000000.0,1631860000000.0,1491470000000.0,1422110000000.0,1480710000000.0,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,10958053115.0,11326599135.0,11663366600.0,11960751675.0,12244624388.0,12529353918.0,7.29447269439697,6.19860124588013,6.18826246261597,6.51824903488159,6.29069042205811
387,Spain,2012,45429071.0,46068811.0,46583566.0,46931011.0,47084242.0,47063059.0,79.5,79.4,81.0,81.0,88.0,89.0,1474000000000.0,1631860000000.0,1491470000000.0,1422110000000.0,1480710000000.0,1324740000000.0,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,28322.80925,11326599135.0,11663366600.0,11960751675.0,12244624388.0,12529353918.0,12808317845.0,6.19860124588013,6.18826246261597,6.51824903488159,6.29069042205811,6.15002727508545
388,Spain,2013,46068811.0,46583566.0,46931011.0,47084242.0,47063059.0,46930554.0,79.4,81.0,81.0,88.0,89.0,81.3,1631860000000.0,1491470000000.0,1422110000000.0,1480710000000.0,1324740000000.0,1355140000000.0,35510.72223,32169.50285,30532.48051,31677.90031,28322.80925,29067.80946,11663366600.0,11960751675.0,12244624388.0,12529353918.0,12808317845.0,13061043968.0,6.18826246261597,6.51824903488159,6.29069042205811,6.15002727508545,6.45647764205933
389,Spain,2014,46583566.0,46931011.0,47084242.0,47063059.0,46930554.0,46777927.0,81.0,81.0,88.0,89.0,81.3,81.6,1491470000000.0,1422110000000.0,1480710000000.0,1324740000000.0,1355140000000.0,1371220000000.0,32169.50285,30532.48051,31677.90031,28322.80925,29067.80946,29500.78943,11960751675.0,12244624388.0,12529353918.0,12808317845.0,13061043968.0,13316111870.0,6.51824903488159,6.29069042205811,6.15002727508545,6.45647764205933,6.38066339492798
390,Spain,2015,46931011.0,47084242.0,47063059.0,46930554.0,46777927.0,46671919.0,81.0,88.0,89.0,81.3,81.6,81.9,1422110000000.0,1480710000000.0,1324740000000.0,1355140000000.0,1371220000000.0,1195600000000.0,30532.48051,31677.90031,28322.80925,29067.80946,29500.78943,25742.36883,12244624388.0,12529353918.0,12808317845.0,13061043968.0,13316111870.0,13587806073.0,6.29069042205811,6.15002727508545,6.45647764205933,6.38066339492798,6.31861209869385
396,Sweden,2010,9038627.0,9096170.0,9162941.0,9236433.0,9313085.0,9390157.0,79.6,79.8,79.9,82.0,83.0,85.0,392218000000.0,423093000000.0,491253000000.0,517706000000.0,436537000000.0,495813000000.0,43437.06312,46593.60216,53700.00534,56152.55234,46946.96027,52869.04429,4294318961.0,4348021600.0,4400991791.0,4451878630.0,4499130831.0,4552257184.0,7.24136257171631,7.51599740982056,7.26597738265991,7.49601888656616,7.38223218917847
397,Sweden,2011,9096170.0,9162941.0,9236433.0,9313085.0,9390157.0,9466705.0,79.8,79.9,82.0,83.0,85.0,88.0,423093000000.0,491253000000.0,517706000000.0,436537000000.0,495813000000.0,574094000000.0,46593.60216,53700.00534,56152.55234,46946.96027,52869.04429,60755.75955,4348021600.0,4400991791.0,4451878630.0,4499130831.0,4552257184.0,4601514453.0,7.51599740982056,7.26597738265991,7.49601888656616,7.38223218917847,7.56014776229858
398,Sweden,2012,9162941.0,9236433.0,9313085.0,9390157.0,9466705.0,9542817.0,79.9,82.0,83.0,85.0,88.0,89.0,491253000000.0,517706000000.0,436537000000.0,495813000000.0,574094000000.0,552484000000.0,53700.00534,56152.55234,46946.96027,52869.04429,60755.75955,58037.82132,4400991791.0,4451878630.0,4499130831.0,4552257184.0,4601514453.0,4648288304.0,7.26597738265991,7.49601888656616,7.38223218917847,7.56014776229858,7.43401050567627
399,Sweden,2013,9236433.0,9313085.0,9390157.0,9466705.0,9542817.0,9618016.0,82.0,83.0,85.0,88.0,89.0,81.1,517706000000.0,436537000000.0,495813000000.0,574094000000.0,552484000000.0,586842000000.0,56152.55234,46946.96027,52869.04429,60755.75955,58037.82132,61126.9432,4451878630.0,4499130831.0,4552257184.0,4601514453.0,4648288304.0,4693494300.0,7.49601888656616,7.38223218917847,7.56014776229858,7.43401050567627,7.23914766311646
400,Sweden,2014,9313085.0,9390157.0,9466705.0,9542817.0,9618016.0,9692137.0,83.0,85.0,88.0,89.0,81.1,81.4,436537000000.0,495813000000.0,574094000000.0,552484000000.0,586842000000.0,581964000000.0,46946.96027,52869.04429,60755.75955,58037.82132,61126.9432,60020.36046,4499130831.0,4552257184.0,4601514453.0,4648288304.0,4693494300.0,4736830244.0,7.38223218917847,7.56014776229858,7.43401050567627,7.23914766311646,7.28892230987549
401,Sweden,2015,9390157.0,9466705.0,9542817.0,9618016.0,9692137.0,9764949.0,85.0,88.0,89.0,81.1,81.4,81.5,495813000000.0,574094000000.0,552484000000.0,586842000000.0,581964000000.0,505104000000.0,52869.04429,60755.75955,58037.82132,61126.9432,60020.36046,51545.48361,4552257184.0,4601514453.0,4648288304.0,4693494300.0,4736830244.0,4780432845.0,7.56014776229858,7.43401050567627,7.23914766311646,7.28892230987549,7.36874437332153
407,Tajikistan,2010,6789318.0,6922590.0,7062667.0,7209924.0,7364752.0,7527397.0,63.7,64.0,64.3,65.2,65.9,65.5,2312327536.0,2830220713.0,3719506173.0,5161337336.0,4979481980.0,5642178580.0,340.5831832,408.8384135,526.6432883,715.8657063,676.1235111,749.5524123,416277061.0,418932229.0,422159325.0,425055345.0,427499319.0,430035734.0,4.4316086769104,5.06398677825928,4.5751748085022,4.38063621520996,4.26267147064209
408,Tajikistan,2011,6922590.0,7062667.0,7209924.0,7364752.0,7527397.0,7697507.0,64.0,64.3,65.2,65.9,65.5,65.9,2830220713.0,3719506173.0,5161337336.0,4979481980.0,5642178580.0,6522732203.0,408.8384135,526.6432883,715.8657063,676.1235111,749.5524123,847.3824321,418932229.0,422159325.0,425055345.0,427499319.0,430035734.0,432376470.0,5.06398677825928,4.5751748085022,4.38063621520996,4.26267147064209,4.49657154083252
409,Tajikistan,2012,7062667.0,7209924.0,7364752.0,7527397.0,7697507.0,7874838.0,64.3,65.2,65.9,65.5,65.9,66.1,3719506173.0,5161337336.0,4979481980.0,5642178580.0,6522732203.0,7633049792.0,526.6432883,715.8657063,676.1235111,749.5524123,847.3824321,969.2961039,422159325.0,425055345.0,427499319.0,430035734.0,432376470.0,435309882.0,4.5751748085022,4.38063621520996,4.26267147064209,4.49657154083252,4.96652126312256
410,Tajikistan,2013,7209924.0,7364752.0,7527397.0,7697507.0,7874838.0,8059782.0,65.2,65.9,65.5,65.9,66.1,66.4,5161337336.0,4979481980.0,5642178580.0,6522732203.0,7633049792.0,8448469838.0,715.8657063,676.1235111,749.5524123,847.3824321,969.2961039,1048.225602,425055345.0,427499319.0,430035734.0,432376470.0,435309882.0,438216775.0,4.38063621520996,4.26267147064209,4.49657154083252,4.96652126312256,4.89615774154663
411,Tajikistan,2014,7364752.0,7527397.0,7697507.0,7874838.0,8059782.0,8252827.0,65.9,65.5,65.9,66.1,66.4,66.7,4979481980.0,5642178580.0,6522732203.0,7633049792.0,8448469838.0,9112544556.0,676.1235111,749.5524123,847.3824321,969.2961039,1048.225602,1104.172358,427499319.0,430035734.0,432376470.0,435309882.0,438216775.0,442816897.0,4.26267147064209,4.49657154083252,4.96652126312256,4.89615774154663,5.12421083450317
412,Tajikistan,2015,7527397.0,7697507.0,7874838.0,8059782.0,8252827.0,8454019.0,65.5,65.9,66.1,66.4,66.7,67.3,5642178580.0,6522732203.0,7633049792.0,8448469838.0,9112544556.0,8271454301.0,749.5524123,847.3824321,969.2961039,1048.225602,1104.172358,978.4049812,430035734.0,432376470.0,435309882.0,438216775.0,442816897.0,448119179.0,4.49657154083252,4.96652126312256,4.89615774154663,5.12421083450317,5.10372114181519
418,Tanzania,2010,38450323.0,39548666.0,40681416.0,41853944.0,43073830.0,44346532.0,54.349,55.119,55.926,56.777,57.666,58.584,18399046025.0,18649590248.0,21843529025.0,27941177435.0,29081425282.0,32014249841.0,492.6313477,485.4974365,552.8394775,687.3904419,695.2168579,743.4036865,3978593.0,5395919.0,6009584.0,6413235.0,6257558.0,6463282.0,4.3179497718811,4.38474178314209,3.40750789642334,3.22912907600403,4.07356214523315
419,Tanzania,2011,39548666.0,40681416.0,41853944.0,43073830.0,44346532.0,45673520.0,55.119,55.926,56.777,57.666,58.584,59.525,18649590248.0,21843529025.0,27941177435.0,29081425282.0,32014249841.0,34657139495.0,485.4974365,552.8394775,687.3904419,695.2168579,743.4036865,781.4338989,5395919.0,6009584.0,6413235.0,6257558.0,6463282.0,6287901.0,4.38474178314209,3.40750789642334,3.22912907600403,4.07356214523315,4.00689744949341
420,Tanzania,2012,40681416.0,41853944.0,43073830.0,44346532.0,45673520.0,47053033.0,55.926,56.777,57.666,58.584,59.525,60.47,21843529025.0,27941177435.0,29081425282.0,32014249841.0,34657139495.0,39650530214.0,552.8394775,687.3904419,695.2168579,743.4036865,781.4338989,867.8574829,6009584.0,6413235.0,6257558.0,6463282.0,6287901.0,7331722.0,3.40750789642334,3.22912907600403,4.07356214523315,4.00689744949341,3.85239481925964
421,Tanzania,2013,41853944.0,43073830.0,44346532.0,45673520.0,47053033.0,48483132.0,56.777,57.666,58.584,59.525,60.47,61.398,27941177435.0,29081425282.0,32014249841.0,34657139495.0,39650530214.0,45680532614.0,687.3904419,695.2168579,743.4036865,781.4338989,867.8574829,970.3995972,6413235.0,6257558.0,6463282.0,6287901.0,7331722.0,8661963.0,3.22912907600403,4.07356214523315,4.00689744949341,3.85239481925964,3.48327851295471
422,Tanzania,2014,43073830.0,44346532.0,45673520.0,47053033.0,48483132.0,49960563.0,57.666,58.584,59.525,60.47,61.398,62.288,29081425282.0,32014249841.0,34657139495.0,39650530214.0,45680532614.0,49964788814.0,695.2168579,743.4036865,781.4338989,867.8574829,970.3995972,1030.077637,6257558.0,6463282.0,6287901.0,7331722.0,8661963.0,10479890.0,4.07356214523315,4.00689744949341,3.85239481925964,3.48327851295471,3.66059732437134
